2018,2022,2018,2022
Madison County Male,Madison County Male,Madison County Female,Madison County Female
,,,
"17,396",,,
"1,764",,,
"5,654",,,
"8,009",,,
"1,969",,,
"120,693",,,
"2,580",,,
"8,673",,,
"22,688",,,
"22,216",,,
"8,070",,,
"33,188",,,
"23,278",,,
(X),,,
(X),,,
"26,022",,,
"23,287",,,
"9,942",,,
"22,283",,,
"20,272",,,
"10,601",,,
"48,232",,,
"44,827",,,
"24,534",,,
"24,156",,,
"21,054",,,
"11,389",,,
,,,
"86,965",,,
"81,209",,,
"45,133",,,
"84,377",,,
"79,039",,,
"43,906",,,
"25,159",,,
"21,110",,,
"7,694",,,
N,,,
N,,,
N,,,
"2,978",,,
"2,876",,,
"2,134",,,
N,,,
N,,,
N,,,
"2,113",,,
"1,290",,,
224,,,
"3,103",,,
"2,609",,,
"1,171",,,
"4,927",,,
"3,645",,,
"1,553",,,
,,,
"55,904",,,
"20,620",,,
"32,438",,,
"38,985",,,
"76,889",,,
"103,575",,,
